MARUTI,,,P 1.61,2025-05-02,12:00,12450.00,02-05-2025 12:06,12478.00,02-05-2025 12:03,12600.00,07-05-2025 10:42,12650.00,13-05-2025 09:18,12300.00,09-05-2025 15:15,LBU-SC | E2  | E1  | T1  | SL  | T2  |  | BF_SL_H:12649.00 | A_SL_H:12700.00 | A_SL_L:12115.00,C7,P
CYIENT,,,P 3.36,2025-05-06,10:00,1190.00,06-05-2025 10:03,1187.30,,1220.00,12-05-2025 10:03,1230.00,12-05-2025 11:03,1160.00,09-05-2025 10:09,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:1193.80 | A_SL_H:1265.90 | A_SL_L:1136.70,C7,P
BHARATFORG,,,P 3.54,2025-05-06,09:45,1130.00,06-05-2025 09:48,1120.60,,1160.00,09-05-2025 10:15,1170.00,09-05-2025 10:24,1100.00,08-05-2025 14:54,LBU-SC | E1  | SL  | T1  | T2  |  | BF_SL_H:1122.50 | A_SL_H:1176.90 | A_SL_L:1084.10,C7,P
TVSMOTOR,,,P 1.43,2025-05-06,09:30,2790.00,06-05-2025 11:15,2798.60,06-05-2025 09:33,2820.00,06-05-2025 09:48,2830.00,16-05-2025 13:09,2760.00,15-05-2025 13:42,LBU-LBU | E2  | T1  | E1  | SL  | T2  |  | BF_SL_H:2796.10 | A_SL_H:2853.90 | A_SL_L:2640.00,C7,P
BOSCHLTD,,,P 1.66,2025-05-06,12:45,30125.00,06-05-2025 12:48,30075.00,,30500.00,07-05-2025 10:39,30625.00,07-05-2025 10:42,29500.00,07-05-2025 09:18,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:30225.00 | A_SL_H:30850.00 | A_SL_L:29425.00,C7,P
EICHERMOT,,,P 1.81,2025-05-07,12:45,5525.00,07-05-2025 12:48,5502.00,,5600.00,19-05-2025 09:45,5625.00,19-05-2025 09:48,5450.00,15-05-2025 15:03,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:5510.50 | A_SL_H:5628.00 | A_SL_L:5260.50,C7,P
ABB,,,P 3.54,2025-05-14,09:30,5650.00,14-05-2025 11:45,5689.00,14-05-2025 09:33,5800.00,16-05-2025 09:39,5850.00,16-05-2025 12:54,5500.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
DELHIVERY,,,P 3.10,2025-05-14,09:45,322.50,14-05-2025 10:12,323.30,14-05-2025 09:48,330.00,19-05-2025 09:18,332.50,19-05-2025 09:18,315.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
IIFL,,,P 2.42,2025-05-14,11:45,412.50,14-05-2025 11:51,414.85,14-05-2025 11:48,420.00,26-05-2025 09:18,422.50,26-05-2025 09:18,405.00,21-05-2025 09:33,LBU-SC | E2  | E1  | SL  | T1  | T2  |  | BF_SL_H:417.80 | A_SL_H:426.80 | A_SL_L:400.95,C7,P
INDIANB,,,P 3.42,2025-05-14,10:00,585.00,14-05-2025 10:03,582.50,,600.00,19-05-2025 09:18,605.00,19-05-2025 10:06,570.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
BAJAJ-AUTO,,,P,2025-05-14,11:00,8050.00,,8093.00,14-05-2025 11:03,8200.00,15-05-2025 13:09,8250.00,15-05-2025 13:42,7900.00,,LBU-SC | E2  | T1  | T2  | ,C7,P
ADANIENT,,,P,2025-05-14,13:00,2450.00,,2459.20,14-05-2025 13:03,2480.00,15-05-2025 10:36,2490.00,15-05-2025 10:39,2420.00,,LBU-SC | E2  | T1  | T2  | ,C7,P
HAVELLS,,,L 1.86,2025-05-15,10:00,1610.00,15-05-2025 10:21,1613.00,15-05-2025 10:03,1640.00,,1650.00,,1580.00,03-06-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:1615.50 | A_SL_H:1600.80 | A_SL_L:1498.50,C7,P
BANKBARODA,,,P 2.14,2025-05-15,10:15,233.75,15-05-2025 10:18,233.92,,237.50,16-05-2025 10:06,238.75,19-05-2025 10:18,230.00,,LBU-SC | E1  | T1  | T2  | ,C7,P
ALKEM,,,P 1.93,2025-05-15,09:45,5175.00,15-05-2025 09:48,5150.00,,5250.00,15-05-2025 14:30,5275.00,15-05-2025 15:03,5100.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
ABB,,,P 3.42,2025-05-16,09:45,5850.00,16-05-2025 09:48,5816.00,,6000.00,26-05-2025 09:18,6050.00,27-05-2025 13:06,5700.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
JSWENERGY,,,P,2025-05-16,10:45,495.00,,497.70,16-05-2025 10:48,510.00,19-05-2025 09:18,515.00,19-05-2025 09:24,480.00,,LBU-LBU | E2  | T1  | T2  | ,C7,P
COALINDIA,,,P 1.84,2025-05-16,09:45,407.50,16-05-2025 09:54,408.50,16-05-2025 09:48,415.00,20-05-2025 10:12,417.50,,400.00,04-06-2025 15:15,LBU-SC | E2  | E1  | T1  | SL  |  | BF_SL_H:417.25 | A_SL_H:405.80 | A_SL_L:389.60,C7,P
JSWSTEEL,,,L 1.45,2025-05-16,09:45,1035.00,16-05-2025 09:48,1034.70,,1050.00,,1055.00,,1020.00,04-06-2025 15:15,LBU-LBU | E1  | SL  |  | BF_SL_H:1035.40 | A_SL_H:1036.00 | A_SL_L:962.15,C7,P
SONACOMS,,,L 2.75,2025-05-16,10:30,545.00,16-05-2025 10:33,541.15,,560.00,,565.00,,530.00,04-06-2025 09:54,LBU-SC | E1  | SL  |  | BF_SL_H:548.55 | A_SL_H:559.50 | A_SL_L:521.65,C7,P
IRCTC,,,L 1.86,2025-05-19,10:45,805.00,19-05-2025 14:15,809.15,19-05-2025 10:48,820.00,,825.00,,790.00,06-06-2025 15:15,LBU-SC | E2  | E1  | SL  |  | BF_SL_H:808.30 | A_SL_H:800.00 | A_SL_L:749.55,C7,P
CYIENT,,,P 3.05,2025-05-19,11:15,1310.00,19-05-2025 11:18,1302.60,,1340.00,23-05-2025 14:33,1350.00,26-05-2025 09:21,1280.00,21-05-2025 09:18,LBU-SC | E1  | SL  | T1  | T2  |  | BF_SL_H:1318.40 | A_SL_H:1376.00 | A_SL_L:1275.90,C7,P
CHOLAFIN,,,P 2.45,2025-05-19,10:30,1630.00,19-05-2025 10:33,1627.00,,1660.00,21-05-2025 12:39,1670.00,28-05-2025 09:18,1600.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
CONCOR,,,P 2.68,2025-05-19,10:30,745.00,19-05-2025 10:33,741.75,,760.00,27-05-2025 13:06,765.00,27-05-2025 13:36,730.00,26-05-2025 14:00,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:757.90 | A_SL_H:770.35 | A_SL_L:708.20,C7,P
TVSMOTOR,,,L 1.06,2025-05-19,13:00,2830.00,19-05-2025 13:03,2834.20,,2860.00,,2870.00,,2800.00,06-06-2025 15:15,LBU-LBU | E1  | SL  |  | BF_SL_H:2844.70 | A_SL_H:2840.00 | A_SL_L:2704.20,C7,P
OBEROIRLTY,,,P 2.37,2025-05-19,09:30,1690.00,19-05-2025 09:39,1690.00,,1720.00,19-05-2025 10:54,1730.00,19-05-2025 11:48,1660.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
SUPREMEIND,,,P,2025-05-19,10:45,3725.00,,3742.00,19-05-2025 10:48,3800.00,19-05-2025 12:06,3825.00,19-05-2025 13:00,3650.00,,LBU-SC | E2  | T1  | T2  | ,C7,P
BAJAJ-AUTO,,,P 2.31,2025-05-20,13:45,8650.00,20-05-2025 13:48,8652.50,,8800.00,23-05-2025 09:18,8850.00,26-05-2025 09:27,8500.00,,LBU-SC | E1  | T1  | T2  | ,C7,P
DLF,,,P 2.58,2025-05-21,11:15,775.00,21-05-2025 11:18,774.00,,790.00,26-05-2025 09:39,795.00,29-05-2025 12:36,760.00,,LBU-SC | E1  | T1  | T2  | ,C7,P
BHEL,,,P 4.04,2025-05-22,09:30,247.50,22-05-2025 11:48,248.59,22-05-2025 09:33,255.00,23-05-2025 14:06,257.50,26-05-2025 09:18,240.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
TATATECH,,,P 2.61,2025-05-23,10:15,765.00,23-05-2025 10:21,768.35,23-05-2025 10:18,780.00,27-05-2025 09:42,785.00,30-05-2025 11:36,750.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
MCX,,,P 2.96,2025-06-02,11:45,6750.00,02-06-2025 11:48,6750.00,,6900.00,03-06-2025 13:54,6950.00,04-06-2025 11:51,6600.00,,LBU-SC | E1  | T1  | T2  | ,C7,P
CUMMINSIND,,,P,2025-06-02,13:00,3275.00,,3293.50,02-06-2025 13:03,3350.00,03-06-2025 09:45,3375.00,04-06-2025 09:21,3200.00,,LBU-SC | E2  | T1  | T2  | ,C7,P
GODREJPROP,,,P 4.40,2025-06-02,12:45,2275.00,02-06-2025 12:57,2279.50,02-06-2025 12:48,2350.00,06-06-2025 09:24,2375.00,06-06-2025 10:09,2200.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
INDIANB,,,L 2.29,2025-06-03,10:15,655.00,03-06-2025 10:21,656.15,03-06-2025 10:18,670.00,,675.00,,640.00,20-06-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:658.50 | A_SL_H:652.40 | A_SL_L:606.00,C7,P
CDSL,,,P 2.34,2025-06-04,09:45,1710.00,04-06-2025 09:48,1704.30,,1740.00,05-06-2025 09:51,1750.00,05-06-2025 12:33,1680.00,04-06-2025 09:57,LBU-SC | E1  | SL  | T1  | T2  |  | BF_SL_H:1708.00 | A_SL_H:1795.00 | A_SL_L:1677.10,C7,P
APLAPOLLO,,,P 2.12,2025-06-05,11:15,1890.00,09-06-2025 12:18,1899.60,06-06-2025 12:57,1920.00,06-06-2025 14:42,1930.00,09-06-2025 09:18,1860.00,,LBU-SC | E2  | T1  | T2  | E1  | ,C7,P
BSE,,,P,2025-06-05,09:45,2816.68,,2833.00,05-06-2025 09:48,2850.00,05-06-2025 10:06,2875.00,05-06-2025 11:09,2750.00,,LBU-LBU | E2  | T1  | T2  | ,C7,P
UNOMINDA,,,L 2.70,2025-06-06,11:45,1110.00,06-06-2025 11:48,1100.90,,1140.00,,1150.00,,1080.00,25-06-2025 15:15,LBU-LBU | E1  | SL  |  | BF_SL_H:1103.30 | A_SL_H:1112.00 | A_SL_L:1027.00,C7,P
JIOFIN,,,P 1.70,2025-06-06,10:30,293.75,06-06-2025 14:39,294.50,06-06-2025 10:33,297.50,09-06-2025 09:18,298.75,09-06-2025 09:18,290.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
RECLTD,,,L 3.61,2025-06-06,12:00,415.00,06-06-2025 12:06,415.20,,430.00,,435.00,,400.00,25-06-2025 15:15,LBU-SC | E1  | SL  |  | BF_SL_H:428.70 | A_SL_H:405.50 | A_SL_L:381.00,C7,P
WIPRO,,,P 2.01,2025-06-06,09:30,248.75,06-06-2025 09:33,248.10,,252.50,09-06-2025 14:21,253.75,10-06-2025 09:36,245.00,,LBU-SC | E1  | T1  | T2  | ,C7,P
VEDL,,,P 4.49,2025-06-06,09:45,445.00,06-06-2025 09:48,443.05,,460.00,09-06-2025 11:57,465.00,10-06-2025 09:24,430.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
DMART,,,P 2.37,2025-06-06,10:45,4225.00,06-06-2025 10:48,4211.50,,4300.00,20-06-2025 13:27,4325.00,23-06-2025 14:27,4150.00,18-06-2025 11:15,LBU-SC | E1  | SL  | T1  | T2  |  | BF_SL_H:4227.10 | A_SL_H:4358.60 | A_SL_L:3928.90,C7,P
DRREDDY,,,P 1.52,2025-06-09,10:30,1315.00,09-06-2025 10:33,1314.80,,1330.00,10-06-2025 09:18,1335.00,10-06-2025 09:21,1300.00,,LBU-SC | E1  | T1  | T2  | ,C7,P
TATACHEM,,,N-E,2025-06-09,11:15,945.00,,946.50,,960.00,,965.00,,930.00,,LBU-LBU | N-E (2D) | ,C7,P
LAURUSLABS,,,P,2025-06-09,10:30,655.00,,656.25,09-06-2025 10:33,670.00,10-06-2025 09:18,675.00,11-06-2025 09:33,640.00,,LBU-SC | E2  | T1  | T2  | ,C7,P
COALINDIA,,,L 1.86,2025-06-09,10:30,402.50,09-06-2025 14:21,404.75,09-06-2025 10:33,410.00,,412.50,,395.00,27-06-2025 15:15,LBU-SC | E2  | E1  | SL  |  | BF_SL_H:409.50 | A_SL_H:397.70 | A_SL_L:383.50,C7,P
CAMS,,,L 1.75,2025-06-09,10:15,4275.00,09-06-2025 10:36,4293.00,09-06-2025 10:18,4350.00,,4375.00,,4200.00,26-06-2025 13:42,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:4330.00 | A_SL_H:4334.00 | A_SL_L:3904.40,C7,P
SBICARD,,,L 1.48,2025-06-10,09:45,1015.00,10-06-2025 09:48,1012.85,,1030.00,,1035.00,,1000.00,27-06-2025 15:15,LBU-LBU | E1  | SL  |  | BF_SL_H:1013.00 | A_SL_H:1015.00 | A_SL_L:933.20,C7,P
TATACHEM,,,L 1.55,2025-06-10,10:00,965.00,10-06-2025 12:21,967.70,10-06-2025 10:03,980.00,,985.00,,950.00,27-06-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:972.00 | A_SL_H:951.80 | A_SL_L:900.20,C7,P
ADANIGREEN,,,P,2025-06-10,10:30,1030.00,,1039.00,10-06-2025 10:33,1060.00,10-06-2025 12:03,1070.00,10-06-2025 12:42,1000.00,,LBU-LBU | E2  | T1  | T2  | ,C7,P
TATAMOTORS,,,L 2.04,2025-06-10,11:15,735.00,10-06-2025 11:18,731.00,,750.00,,755.00,,720.00,27-06-2025 15:15,LBU-LBU | E1  | SL  |  | BF_SL_H:744.00 | A_SL_H:720.40 | A_SL_L:666.10,C7,P
WIPRO,,,P 1.97,2025-06-10,09:45,253.75,10-06-2025 09:51,254.00,10-06-2025 09:48,257.50,11-06-2025 12:42,258.75,11-06-2025 12:42,250.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
CAMS,,,L 1.73,2025-06-10,10:15,4325.00,10-06-2025 10:18,4313.00,,4400.00,,4425.00,,4250.00,27-06-2025 09:18,LBU-LBU | E1  | SL  |  | BF_SL_H:4330.00 | A_SL_H:4334.00 | A_SL_L:3904.40,C7,P
NTPC,,,L 2.19,2025-06-10,13:30,342.50,10-06-2025 13:33,340.05,,350.00,,352.50,,335.00,26-06-2025 13:39,LBU-SC | E1  | SL  |  | BF_SL_H:342.60 | A_SL_H:341.30 | A_SL_L:321.35,C7,P
TATAPOWER,,,L 1.82,2025-06-10,14:00,412.50,10-06-2025 14:30,413.65,10-06-2025 14:03,420.00,,422.50,,405.00,26-06-2025 14:54,LBU-SC | E2  | E1  | SL  |  | BF_SL_H:416.80 | A_SL_H:411.50 | A_SL_L:381.60,C7,P
NCC,,,L 1.55,2025-06-10,11:15,241.25,10-06-2025 11:18,240.02,,245.00,,246.25,,237.50,27-06-2025 15:15,LBU-LBU | E1  | SL  |  | BF_SL_H:241.04 | A_SL_H:238.90 | A_SL_L:217.11,C7,P
JSWSTEEL,,,P 1.97,2025-06-10,10:45,1015.00,10-06-2025 10:48,1015.80,,1030.00,26-06-2025 09:18,1035.00,26-06-2025 09:21,1000.00,23-06-2025 15:15,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:1018.80 | A_SL_H:1040.50 | A_SL_L:981.35,C7,P
BHEL,,,P 3.88,2025-06-10,09:30,257.50,11-06-2025 09:21,259.55,10-06-2025 09:33,265.00,27-06-2025 09:18,267.50,27-06-2025 10:06,250.00,23-06-2025 09:18,LBU-SC | E2  | E1  | SL  | T1  | T2  |  | BF_SL_H:259.45 | A_SL_H:268.40 | A_SL_L:243.50,C7,P
ZYDUSLIFE,,,P 2.05,2025-06-10,11:00,975.00,10-06-2025 11:03,974.50,,990.00,11-06-2025 09:30,995.00,12-06-2025 09:18,960.00,,LBU-SC | E1  | T1  | T2  | ,C7,P
SOLARINDS,,,P 2.96,2025-06-11,10:15,16875.00,11-06-2025 10:18,16880.00,,17250.00,17-06-2025 11:09,17375.00,27-06-2025 10:48,16500.00,13-06-2025 09:21,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:16882.00 | A_SL_H:17795.00 | A_SL_L:16055.00,C7,P
EXIDEIND,,,L 1.86,2025-06-11,13:30,402.50,11-06-2025 13:57,404.25,11-06-2025 13:33,410.00,,412.50,,395.00,30-06-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:408.10 | A_SL_H:397.55 | A_SL_L:370.10,C7,P
MPHASIS,,,P 1.49,2025-06-11,13:30,2690.00,11-06-2025 13:33,2697.80,,2720.00,17-06-2025 09:18,2730.00,25-06-2025 10:45,2660.00,23-06-2025 12:18,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:2699.00 | A_SL_H:2763.30 | A_SL_L:2592.10,C7,P
ZYDUSLIFE,,,L 1.52,2025-06-11,09:30,985.00,11-06-2025 10:27,987.40,11-06-2025 09:33,1000.00,,1005.00,,970.00,26-06-2025 12:12,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:995.70 | A_SL_H:990.90 | A_SL_L:944.00,C7,P
DIVISLAB,,,P 1.49,2025-06-12,13:45,6725.00,12-06-2025 14:09,6748.00,12-06-2025 13:48,6800.00,30-06-2025 14:12,6825.00,01-07-2025 09:18,6650.00,27-06-2025 15:12,LBU-LBU | E2  | E1  | SL  | T1  | T2  |  | BF_SL_H:6744.00 | A_SL_H:6850.00 | A_SL_L:6455.50,C7,P
TECHM,,,P,2025-06-13,13:00,1650.00,,1657.50,13-06-2025 13:03,1680.00,16-06-2025 11:21,1690.00,16-06-2025 12:39,1620.00,,LBU-SC | E2  | T1  | T2  | ,C7,P
WIPRO,,,P 1.90,2025-06-17,10:00,263.75,17-06-2025 10:03,263.73,,267.50,24-06-2025 09:45,268.75,25-06-2025 12:39,260.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
LTIM,,,L 1.38,2025-06-18,12:45,5425.00,19-06-2025 09:18,5445.00,18-06-2025 12:48,5500.00,,5525.00,,5350.00,07-07-2025 15:15,LBU-SC | E2  | E1  | SL  |  | BF_SL_H:5455.00 | A_SL_H:5464.50 | A_SL_L:5241.00,C7,P
MFSL,,,P 2.52,2025-06-19,10:45,1590.00,19-06-2025 11:30,1595.10,19-06-2025 10:48,1620.00,24-06-2025 14:36,1630.00,26-06-2025 09:18,1560.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
MARUTI,,,L 1.18,2025-06-20,10:00,12750.00,20-06-2025 11:27,12799.00,20-06-2025 10:03,12900.00,,12950.00,,12600.00,09-07-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:12855.00 | A_SL_H:12848.00 | A_SL_L:12320.00,C7,P
PAYTM,,,P 4.30,2025-06-30,11:00,930.00,30-06-2025 11:03,923.35,,960.00,14-07-2025 10:00,970.00,14-07-2025 12:21,900.00,08-07-2025 13:18,LBU-SC | E1  | SL  | T1  | T2  |  | BF_SL_H:936.90 | A_SL_H:979.85 | A_SL_L:896.10,C7,P
MAXHEALTH,,,P 3.15,2025-06-30,09:45,1270.00,02-07-2025 09:18,1274.30,30-06-2025 09:48,1300.00,01-07-2025 09:30,1310.00,04-07-2025 09:18,1240.00,,LBU-SC | E2  | T1  | E1  | T2  | ,C7,P
RECLTD,,,O,2025-06-30,09:45,405.00,30-06-2025 09:51,406.10,30-06-2025 09:48,420.00,,425.00,,390.00,,LBU-SC | E2  | E1  | ,C7,P
DIXON,,,P 3.36,2025-06-30,14:00,14875.00,30-06-2025 14:03,14844.00,,15250.00,02-07-2025 15:09,15375.00,07-07-2025 09:24,14500.00,01-07-2025 13:48,LBU-SC | E1  | SL  | T1  | T2  |  | BF_SL_H:15020.00 | A_SL_H:15668.00 | A_SL_L:14376.00,C7,P
MCX,,,L 1.66,2025-07-01,10:45,9050.00,01-07-2025 11:57,9061.50,01-07-2025 10:48,9200.00,,9250.00,,8900.00,18-07-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:9108.50 | A_SL_H:9000.00 | A_SL_L:8022.50,C7,P
TCS,,,P 0.87,2025-07-01,10:45,3450.00,01-07-2025 10:48,3451.20,,3480.00,02-07-2025 09:18,3490.00,,3420.00,18-07-2025 15:15,LBU-LBU | E1  | SL  | T1  |  | BF_SL_H:3451.60 | A_SL_H:3489.90 | A_SL_L:3189.00,C7,P
DELHIVERY,,,P 2.61,2025-07-01,11:15,382.50,01-07-2025 11:21,383.25,01-07-2025 11:18,390.00,03-07-2025 09:18,392.50,03-07-2025 09:18,375.00,,LBU-LBU | E2  | E1  | T1  | T2  | ,C7,P
POWERGRID,,,P 1.26,2025-07-01,09:45,298.75,01-07-2025 12:03,299.65,01-07-2025 09:48,302.50,10-07-2025 09:30,303.75,,295.00,18-07-2025 15:15,LBU-LBU | E2  | E1  | SL  | T1  |  | BF_SL_H:299.15 | A_SL_H:302.70 | A_SL_L:291.65,C7,P
MAZDOCK,,,L 4.48,2025-07-04,09:45,3350.00,04-07-2025 09:54,3362.10,04-07-2025 09:48,3500.00,,3550.00,,3200.00,23-07-2025 15:15,LBU-SC | E2  | E1  | SL  |  | BF_SL_H:3369.00 | A_SL_H:3213.20 | A_SL_L:2871.00,C7,P
BLUESTARCO,,,P 2.19,2025-07-04,12:30,1830.00,04-07-2025 12:33,1825.00,,1860.00,15-07-2025 09:21,1870.00,15-07-2025 10:09,1800.00,14-07-2025 12:45,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:1848.00 | A_SL_H:1902.30 | A_SL_L:1774.00,C7,P
MAXHEALTH,,,L 2.33,2025-07-04,12:00,1290.00,04-07-2025 12:27,1296.00,04-07-2025 12:03,1320.00,,1330.00,,1260.00,23-07-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:1310.80 | A_SL_H:1278.00 | A_SL_L:1201.00,C7,P
DRREDDY,,,L 1.15,2025-07-07,09:30,1305.00,07-07-2025 09:39,1306.00,07-07-2025 09:33,1320.00,,1325.00,,1290.00,25-07-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:1312.50 | A_SL_H:1291.10 | A_SL_L:1231.00,C7,P
FORTIS,,,P 2.48,2025-07-07,13:45,805.00,07-07-2025 13:48,801.85,,820.00,23-07-2025 10:54,825.00,24-07-2025 09:18,790.00,15-07-2025 09:18,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:813.00 | A_SL_H:849.70 | A_SL_L:757.15,C7,P
CROMPTON,,,L 2.13,2025-07-07,11:30,352.50,07-07-2025 11:39,354.30,07-07-2025 11:33,360.00,,362.50,,345.00,25-07-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:353.90 | A_SL_H:353.25 | A_SL_L:328.20,C7,P
POLICYBZR,,,P 1.36,2025-07-09,13:45,1845.00,09-07-2025 13:54,1846.70,09-07-2025 13:48,1860.00,10-07-2025 09:21,1870.00,10-07-2025 09:27,1820.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
ASIANPAINT,,,L 1.20,2025-07-09,11:45,2490.00,10-07-2025 09:18,2498.70,09-07-2025 11:54,2520.00,,2530.00,,2460.00,28-07-2025 15:15,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:2512.00 | A_SL_H:2484.80 | A_SL_L:2320.00,C7,P
MANKIND,,,L 2.80,2025-07-14,12:30,2675.00,14-07-2025 12:33,2656.00,,2750.00,,2775.00,,2600.00,01-08-2025 15:15,LBU-LBU | E1  | SL  |  | BF_SL_H:2716.50 | A_SL_H:2694.90 | A_SL_L:2517.00,C7,P
INDIGO,,,L 1.26,2025-07-15,10:45,5975.00,15-07-2025 10:48,5955.00,,6050.00,,6075.00,,5900.00,01-08-2025 15:15,LBU-SC | E1  | SL  |  | BF_SL_H:5964.50 | A_SL_H:5958.50 | A_SL_L:5606.50,C7,P
FORTIS,,,P 2.48,2025-07-16,11:00,805.00,16-07-2025 11:03,801.10,,820.00,23-07-2025 10:54,825.00,24-07-2025 09:18,790.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
TORNTPHARM,,,P 2.88,2025-07-16,11:00,3475.00,16-07-2025 11:03,3450.00,,3550.00,23-07-2025 11:42,3575.00,25-07-2025 09:24,3400.00,,LBU-SC | E1  | T1  | T2  | ,C7,P
PGEL,,,L 3.70,2025-07-16,11:45,810.00,18-07-2025 12:51,819.40,16-07-2025 11:48,840.00,,850.00,,780.00,04-08-2025 12:00,LBU-LBU | E2  | E1  | SL  |  | BF_SL_H:818.00 | A_SL_H:823.50 | A_SL_L:772.35,C7,P
TATAPOWER,,,L 1.82,2025-07-17,09:45,412.50,17-07-2025 12:00,413.60,17-07-2025 09:48,420.00,,422.50,,405.00,05-08-2025 15:15,LBU-SC | E2  | E1  | SL  |  | BF_SL_H:414.20 | A_SL_H:405.00 | A_SL_L:376.25,C7,P
ADANIENT,,,P 0.76,2025-07-17,13:00,2630.00,17-07-2025 13:06,2637.00,17-07-2025 13:03,2650.00,17-07-2025 13:33,2655.00,,2600.00,05-08-2025 15:15,LBU-LBU | E2  | E1  | T1  | SL  |  | BF_SL_H:2651.90 | A_SL_H:2630.00 | A_SL_L:2316.00,C7,P
M&M,,,P 3.15,2025-07-18,10:30,3175.00,21-07-2025 09:18,3190.50,18-07-2025 10:33,3250.00,21-07-2025 15:12,3275.00,23-07-2025 09:18,3100.00,,LBU-SC | E2  | E1  | T1  | T2  | ,C7,P
DELHIVERY,,,P 2.26,2025-07-24,10:00,442.50,24-07-2025 10:03,440.40,,450.00,04-08-2025 09:18,452.50,04-08-2025 09:30,435.00,01-08-2025 15:15,LBU-LBU | E1  | SL  | T1  | T2  |  | BF_SL_H:445.40 | A_SL_H:463.95 | A_SL_L:404.10,C7,P
SRF,,,P 2.36,2025-07-24,09:30,3175.00,24-07-2025 09:33,3187.80,,3250.00,24-07-2025 10:27,3275.00,,3100.00,12-08-2025 15:15,LBU-SC | E1  | T1  | SL  |  | BF_SL_H:3260.40 | A_SL_H:3143.90 | A_SL_L:2820.00,C7,P
PAGEIND,,,P 2.16,2025-07-25,13:45,46250.00,25-07-2025 13:48,46200.00,,47000.00,29-07-2025 09:21,47250.00,29-07-2025 13:00,45500.00,,LBU-LBU | E1  | T1  | T2  | ,C7,P
BANKBARODA,,,L 0.68,2025-07-25,11:00,245.82,25-07-2025 11:12,246.38,25-07-2025 11:03,247.50,,248.32,,244.15,13-08-2025 15:15,LBU-SC | E2  | E1  | SL  |  | BF_SL_H:246.20 | A_SL_H:247.25 | A_SL_L:234.81,C7,P
FORTIS,,,P 2.34,2025-07-28,10:15,855.00,28-07-2025 10:18,851.75,,870.00,07-08-2025 09:18,875.00,07-08-2025 09:18,840.00,31-07-2025 09:21,LBU-SC | E1  | SL  | T1  | T2  |  | BF_SL_H:854.50 | A_SL_H:904.50 | A_SL_L:830.15,C7,P
EICHERMOT,,,P 1.76,2025-08-06,12:15,5675.00,06-08-2025 12:54,5685.00,06-08-2025 12:18,5750.00,13-08-2025 10:30,5775.00,14-08-2025 12:54,5600.00,07-08-2025 13:54,LBU-SC | E2  | E1  | SL  | T1  | T2  |  | BF_SL_H:5694.50 | A_SL_H:5785.50 | A_SL_L:5588.00,C7,P
